Year,Nodes,Edges,Density,Average Clustering Coefficient,Transitivity,Diameter,Radius
2000,1.86e+06,2.16e+07,1.25e-05,8.52e-01,8.96e-01,1.78e+00,1.24e+00
2001,1.94e+06,2.80e+07,1.48e-05,8.53e-01,8.95e-01,1.77e+00,1.24e+00
2002,2.07e+06,2.68e+07,1.25e-05,8.52e-01,8.94e-01,1.77e+00,1.23e+00
2003,2.22e+06,2.83e+07,1.15e-05,8.52e-01,8.91e-01,1.74e+00,1.22e+00
2004,2.41e+06,3.02e+07,1.04e-05,8.50e-01,8.91e-01,1.73e+00,1.22e+00
2005,2.63e+06,3.34e+07,9.67e-06,8.48e-01,8.89e-01,1.72e+00,1.21e+00
2006,2.88e+06,3.2e+07,7.69e-06,8.46e-01,8.86e-01,1.71e+00,1.20e+00
2007,3.07e+06,3.69e+07,7.82e-06,8.52e-01,8.89e-01,1.67e+00,1.19e+00
2008,3.31e+06,3.79e+07,6.91e-06,8.45e-01,8.86e-01,1.70e+00,1.2e+00
2009,3.51e+06,4.30e+07,6.97e-06,8.42e-01,8.82e-01,1.68e+00,1.18e+00
