Year,Nodes,Edges,Density,Average Clustering Coefficient,Transitivity,Diameter,Radius
1990,1.13e+06,1.96e+07,3.09e-05,9.05e-01,9.22e-01,1.38e+00,1.09e+00
1991,1.19e+06,1.8e+07,2.56e-05,9.03e-01,9.19e-01,1.39e+00,1.09e+00
1992,1.22e+06,1.70e+07,2.28e-05,9.02e-01,9.18e-01,1.39e+00,1.09e+00
1993,1.29e+06,1.50e+07,1.80e-05,9.01e-01,9.18e-01,1.39e+00,1.09e+00
1994,1.36e+06,1.89e+07,2.04e-05,8.99e-01,9.16e-01,1.39e+00,1.09e+00
1995,1.44e+06,1.86e+07,1.81e-05,8.96e-01,9.13e-01,1.39e+00,1.09e+00
1996,1.53e+06,1.62e+07,1.39e-05,8.95e-01,9.12e-01,1.39e+00,1.09e+00
1997,1.61e+06,2.1e+07,1.63e-05,8.93e-01,9.09e-01,1.39e+00,1.09e+00
1998,1.67e+06,1.77e+07,1.27e-05,8.91e-01,9.09e-01,1.39e+00,1.08e+00
1999,1.74e+06,2.4e+07,1.59e-05,8.9e-01,9.07e-01,1.39e+00,1.08e+00
