Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
2005,3,3,1.0,1.0,1.0,1.0,1.0
2006,8,28,1.0,1.0,1.0,1.0,1.0
2012,2,1,1.0,,,,
2014,29,131,0.3226600985221675,1.0,1.0,1.0,1.0
2015,2806,3374657,0.857509817897223,0.9526435757306561,1.0,1.0,1.0
2016,159,592,0.047130005572804716,0.9270205610481725,0.9889022424092079,1.12,1.0
2017,403,9826,0.1213041492290409,0.9252938191598155,0.9467032967032967,1.1923076923076923,1.0384615384615385
2018,248,2043,0.06670366984458666,0.9988687782805429,0.9959514170040487,1.0384615384615385,1.0
