Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
2011,5,10,1.0,1.0,1.0,1.0,1.0
2012,60,130,0.07344632768361582,1.0,1.0,1.0,1.0
2013,1266,4977,0.006215461851151115,0.9318748436036922,0.961446298569464,1.1590909090909092,1.0113636363636365
2014,2234,9709,0.003892535704964316,0.9342192532782769,0.9685780722396952,1.1748251748251748,1.0174825174825175
2015,3093,15144,0.0031670228103437676,0.9384777712040285,0.96095086486202,1.1875,1.0198863636363635
2016,3634,113912,0.017256358389077315,0.9487301666999914,0.9648534919118285,1.1868512110726643,1.0242214532871972
2017,2868,28373,0.006901260386672952,0.9452373015374719,0.9701252596466224,1.1918819188191883,1.029520295202952
2018,1254,6891,0.008771293393463343,0.9663647434243398,0.9845286551930975,1.106060606060606,1.0075757575757576
2019,12,66,1.0,1.0,1.0,1.0,1.0
